Starting Experiments...

Epoch [4/10], Loss: 0.4359, Acc: 80.02%
Epoch [5/10], Loss: 0.4048, Acc: 81.81%
Epoch [6/10], Loss: 0.3814, Acc: 83.14%
Epoch [7/10], Loss: 0.3589, Acc: 84.31%
Epoch [8/10], Loss: 0.3388, Acc: 85.42%
Epoch [9/10], Loss: 0.3199, Acc: 86.38%
Epoch [10/10], Loss: 0.3005, Acc: 86.96%
Test Accuracy: 87.76%

--- Config: Act=tanh, Init=xavier, Optim=sgd ---
Epoch [1/10], Loss: 0.6812, Acc: 62.35%
Epoch [2/10], Loss: 0.5897, Acc: 68.21%
Epoch [3/10], Loss: 0.5592, Acc: 70.48%
Epoch [4/10], Loss: 0.5377, Acc: 72.43%
Epoch [5/10], Loss: 0.5186, Acc: 74.21%
Epoch [6/10], Loss: 0.5086, Acc: 74.82%
Epoch [7/10], Loss: 0.4967, Acc: 75.79%
Epoch [8/10], Loss: 0.4855, Acc: 76.62%
Epoch [9/10], Loss: 0.4728, Acc: 77.03%
Epoch [10/10], Loss: 0.4662, Acc: 77.71%
Test Accuracy: 76.75%

--- Config: Act=tanh, Init=xavier, Optim=adam ---
Epoch [1/10], Loss: 0.7291, Acc: 63.30%
Epoch [2/10], Loss: 0.5786, Acc: 69.40%
Epoch [3/10], Loss: 0.5560, Acc: 71.13%
Epoch [4/10], Loss: 0.5393, Acc: 72.61%
Epoch [5/10], Loss: 0.5186, Acc: 74.12%
Epoch [6/10], Loss: 0.5028, Acc: 75.50%
Epoch [7/10], Loss: 0.4929, Acc: 76.22%
Epoch [8/10], Loss: 0.4754, Acc: 77.20%
Epoch [9/10], Loss: 0.4592, Acc: 78.48%
Epoch [10/10], Loss: 0.4426, Acc: 79.42%
Test Accuracy: 79.47%

--- Config: Act=tanh, Init=xavier, Optim=rmsprop ---
Epoch [1/10], Loss: 0.7471, Acc: 60.64%
Epoch [2/10], Loss: 0.6011, Acc: 67.29%
Epoch [3/10], Loss: 0.5753, Acc: 69.83%
Epoch [4/10], Loss: 0.5509, Acc: 71.94%
Epoch [5/10], Loss: 0.5333, Acc: 73.08%
Epoch [6/10], Loss: 0.5160, Acc: 74.62%
Epoch [7/10], Loss: 0.5031, Acc: 75.51%
Epoch [8/10], Loss: 0.4862, Acc: 76.45%
Epoch [9/10], Loss: 0.4751, Acc: 77.38%
Epoch [10/10], Loss: 0.4586, Acc: 78.35%
Test Accuracy: 79.09%

--- Config: Act=tanh, Init=kaiming, Optim=sgd ---
Epoch [1/10], Loss: 0.6728, Acc: 62.77%
Epoch [2/10], Loss: 0.5803, Acc: 69.07%
Epoch [3/10], Loss: 0.5508, Acc: 71.54%
Epoch [4/10], Loss: 0.5323, Acc: 72.62%
Epoch [5/10], Loss: 0.5136, Acc: 74.45%
Epoch [6/10], Loss: 0.4999, Acc: 75.27%
Epoch [7/10], Loss: 0.4920, Acc: 76.05%
Epoch [8/10], Loss: 0.4801, Acc: 76.89%
Epoch [9/10], Loss: 0.4723, Acc: 77.34%
Epoch [10/10], Loss: 0.4581, Acc: 78.30%
Test Accuracy: 78.07%

--- Config: Act=tanh, Init=kaiming, Optim=adam ---
Epoch [1/10], Loss: 0.7065, Acc: 64.46%
Epoch [2/10], Loss: 0.5662, Acc: 70.41%
Epoch [3/10], Loss: 0.5343, Acc: 72.87%
Epoch [4/10], Loss: 0.5114, Acc: 74.75%
Epoch [5/10], Loss: 0.4912, Acc: 76.08%
Epoch [6/10], Loss: 0.4678, Acc: 77.63%
Epoch [7/10], Loss: 0.4531, Acc: 78.84%
Epoch [8/10], Loss: 0.4306, Acc: 80.26%
Epoch [9/10], Loss: 0.4125, Acc: 80.99%
Epoch [10/10], Loss: 0.4068, Acc: 81.40%
Test Accuracy: 80.95%

--- Config: Act=tanh, Init=kaiming, Optim=rmsprop ---
Epoch [1/10], Loss: 0.7372, Acc: 62.12%
Epoch [2/10], Loss: 0.5892, Acc: 68.63%
Epoch [3/10], Loss: 0.5529, Acc: 71.78%
Epoch [4/10], Loss: 0.5261, Acc: 73.87%
Epoch [5/10], Loss: 0.5067, Acc: 75.16%
Epoch [6/10], Loss: 0.4923, Acc: 75.86%
Epoch [7/10], Loss: 0.4773, Acc: 77.06%
Epoch [8/10], Loss: 0.4572, Acc: 78.34%
Epoch [9/10], Loss: 0.4418, Acc: 79.38%
Epoch [10/10], Loss: 0.4255, Acc: 80.26%
Test Accuracy: 80.65%

--- Config: Act=tanh, Init=random, Optim=sgd ---
Epoch [1/10], Loss: 0.6324, Acc: 63.38%
Epoch [2/10], Loss: 0.5952, Acc: 67.44%
Epoch [3/10], Loss: 0.5691, Acc: 69.81%
Epoch [4/10], Loss: 0.5495, Acc: 71.31%
Epoch [5/10], Loss: 0.5303, Acc: 73.02%
Epoch [6/10], Loss: 0.5160, Acc: 74.31%
Epoch [7/10], Loss: 0.4944, Acc: 75.62%
Epoch [8/10], Loss: 0.4810, Acc: 76.61%
Epoch [9/10], Loss: 0.4701, Acc: 77.44%
Epoch [10/10], Loss: 0.4571, Acc: 78.33%
Test Accuracy: 79.01%

--- Config: Act=tanh, Init=random, Optim=adam ---
Epoch [1/10], Loss: 0.6474, Acc: 62.75%
Epoch [2/10], Loss: 0.5907, Acc: 68.00%
Epoch [3/10], Loss: 0.5689, Acc: 70.02%
Epoch [4/10], Loss: 0.5524, Acc: 71.42%
Epoch [5/10], Loss: 0.5331, Acc: 72.93%
Epoch [6/10], Loss: 0.5200, Acc: 74.24%
Epoch [7/10], Loss: 0.5061, Acc: 75.14%
Epoch [8/10], Loss: 0.4932, Acc: 76.45%
Epoch [9/10], Loss: 0.4847, Acc: 76.63%
Epoch [10/10], Loss: 0.4657, Acc: 77.74%
Test Accuracy: 77.65%

--- Config: Act=tanh, Init=random, Optim=rmsprop ---
Epoch [1/10], Loss: 0.6837, Acc: 59.79%
Epoch [2/10], Loss: 0.6052, Acc: 66.98%
Epoch [3/10], Loss: 0.5851, Acc: 69.28%
Epoch [4/10], Loss: 0.5703, Acc: 69.90%
Epoch [5/10], Loss: 0.5534, Acc: 71.71%
Epoch [6/10], Loss: 0.5480, Acc: 71.90%
Epoch [7/10], Loss: 0.5293, Acc: 73.43%
Epoch [8/10], Loss: 0.5217, Acc: 74.30%
Epoch [9/10], Loss: 0.5112, Acc: 74.82%
Epoch [10/10], Loss: 0.4962, Acc: 76.00%
Test Accuracy: 74.28%

--- Config: Act=leaky_relu, Init=xavier, Optim=sgd ---
Epoch [1/10], Loss: 0.6116, Acc: 67.59%
Epoch [2/10], Loss: 0.5191, Acc: 74.18%
Epoch [3/10], Loss: 0.4832, Acc: 76.83%
Epoch [4/10], Loss: 0.4567, Acc: 78.56%
Epoch [5/10], Loss: 0.4351, Acc: 79.90%
Epoch [6/10], Loss: 0.4177, Acc: 80.88%
Epoch [7/10], Loss: 0.4019, Acc: 81.66%
Epoch [8/10], Loss: 0.3840, Acc: 82.86%
Epoch [9/10], Loss: 0.3764, Acc: 83.09%
Epoch [10/10], Loss: 0.3698, Acc: 83.66%
Test Accuracy: 82.78%

--- Config: Act=leaky_relu, Init=xavier, Optim=adam ---
Epoch [1/10], Loss: 0.6476, Acc: 66.31%
Epoch [2/10], Loss: 0.5191, Acc: 74.51%
Epoch [3/10], Loss: 0.4666, Acc: 78.16%
Epoch [4/10], Loss: 0.4256, Acc: 80.51%
Epoch [5/10], Loss: 0.3931, Acc: 82.76%
Epoch [6/10], Loss: 0.3629, Acc: 83.88%
Epoch [7/10], Loss: 0.3472, Acc: 85.06%
Epoch [8/10], Loss: 0.3182, Acc: 86.51%
Epoch [9/10], Loss: 0.3024, Acc: 87.01%
Epoch [10/10], Loss: 0.2855, Acc: 88.10%
Test Accuracy: 87.76%

--- Config: Act=leaky_relu, Init=xavier, Optim=rmsprop ---
Epoch [1/10], Loss: 0.9813, Acc: 61.21%
Epoch [2/10], Loss: 0.5780, Acc: 70.52%
Epoch [3/10], Loss: 0.5028, Acc: 75.84%
Epoch [4/10], Loss: 0.4424, Acc: 79.38%
Epoch [5/10], Loss: 0.4073, Acc: 81.57%
Epoch [6/10], Loss: 0.3763, Acc: 83.32%
Epoch [7/10], Loss: 0.3446, Acc: 85.06%
Epoch [8/10], Loss: 0.3242, Acc: 85.84%
Epoch [9/10], Loss: 0.2982, Acc: 87.23%
Epoch [10/10], Loss: 0.2755, Acc: 88.38%
Test Accuracy: 88.02%

--- Config: Act=leaky_relu, Init=kaiming, Optim=sgd ---
